區塊,欄位,類型,DB / API 來源,值 / 規則,備註
① Modal 觸發與外觀,觸發方式 — 接管按鈕,action,前端事件,客服點擊「接管此對話（升人工）」按鈕後開啟,來自 BOT_HANDLED 頁面底部 CTA
① Modal 觸發與外觀,觸發方式 — 自動升人工,action,conversation.status 變更事件,系統自動偵測升人工條件成立時，直接切換狀態，不開 Modal,自動升人工不顯示 Modal，直接執行
① Modal 觸發與外觀,背景遮罩,CSS,前端狀態,"底層畫面加半透明黑色遮罩 rgba(0,0,0,0.45)；不可點擊遮罩關閉",防止誤觸底層操作
① Modal 觸發與外觀,Modal 寬度,CSS,前端常數,固定寬度 360px，垂直居中顯示,
① Modal 觸發與外觀,Modal 標頭文字,string,前端固定文案,「升人工 — 接管此對話」,
① Modal 觸發與外觀,關閉按鈕（×）,action,前端事件,點擊關閉 Modal，不執行任何 API 呼叫，對話維持 BOT_HANDLED,
② Bot 對話摘要,區塊標題,string,前端固定文案,「Bot 對話摘要（AI 自動生成）」,
② Bot 對話摘要,摘要內容,string,POST /ai/summarize,body: { conversationId }；回傳本次對話的 AI 摘要文字,Modal 開啟時非同步呼叫；載入中顯示 skeleton
② Bot 對話摘要,摘要字數上限,integer,前端限制,最多顯示 200 字，超出截斷加「...」,
② Bot 對話摘要,載入失敗處理,string,前端狀態,API 失敗時顯示「摘要生成失敗，請直接查看對話記錄」,不阻擋後續升人工操作
③ Bot 回覆記錄,區塊標題,string,前端固定文案,「Bot 回覆記錄（共 N 則）」；N 來自 conversation.botRepliesCount,
③ Bot 回覆記錄,回覆記錄列表,array,GET /conversations/:id/messages?senderType=BOT,每列顯示：時間 / 摘要內容（前 30 字）/ 信心值 / 觸發方式,依 message.createdAt 升冪排列
③ Bot 回覆記錄,每列 — 時間,datetime,message.createdAt,格式 HH:MM,
③ Bot 回覆記錄,每列 — 內容摘要,string,message.content.text,截取前 30 字；Flex 訊息顯示「[卡片訊息]」,
③ Bot 回覆記錄,每列 — 信心值,float,message.metadata.confidence,顯示格式「信心值 XX%」；> 80% 綠色；50%~80% 橘色,
③ Bot 回覆記錄,每列 — 觸發方式,enum,message.metadata.triggerType,「關鍵字命中」/ 「KM 語義命中」,
③ Bot 回覆記錄,達上限警告,string,conversation.botRepliesCount >= maxBotRepliesBeforeHandoff,橘色提示：「已達 N 次上限，觸發升人工」,超過上限才顯示
③ Bot 回覆記錄,升人工原因,string,conversation.handoffReason,顯示系統判斷的升人工原因，如「回覆次數達上限」/ 「信心值不足」/ 「關鍵字觸發」,來自 conversations.handoff_reason
④ 指派客服,區塊標題,string,前端固定文案,「指派客服」,
④ 指派客服,客服下拉選單,array,GET /agents?isActive=true,列出所有在線客服；每個選項顯示姓名 + 目前負責案件數,格式：「王客服（目前 3 案）」
④ 指派客服,預設選中值,string,自動指派策略計算,依 channel.settings.assignStrategy 決定：round_robin / least_load / skill_match,預設 least_load；前端顯示建議人選
