區塊,欄位,類型,DB / API 來源,值 / 規則,備註
① 頁面標頭,麵包屑,string,前端路由,「自動化 / {規則名稱}」；新建時顯示「自動化 / 新規則」,
① 頁面標頭,規則名稱輸入框,string,automation_rule.name,必填；最長 50 字；空白時「儲存」disabled,行內編輯，不另開 Modal
① 頁面標頭,啟用狀態 Toggle,boolean,automation_rule.isActive,開 / 關；切換後即時更新（不需按儲存）,PATCH /automation/rules/:id { isActive }
① 頁面標頭,試執行按鈕,action,POST /automation/rules/:id/test,開啟試執行 Modal；可選目標聯繫人 + Dry Run 不真實執行,需先儲存才能試執行
① 頁面標頭,儲存按鈕,action,PUT /automation/rules/:id,儲存所有 trigger / conditions / actions；成功後顯示 Toast,必填欄位未填時 disabled
① 頁面標頭,刪除按鈕,action,DELETE /automation/rules/:id,需二次確認；刪除後跳回列表頁,
② WHEN 觸發器,區塊標題,string,前端固定文案,「WHEN — 觸發條件（選一個）」,一條規則只能有一個觸發器
② WHEN 觸發器,觸發器類型下拉,enum,automation_rule.trigger.type,渠道事件 / 聯繫人事件 / 案件事件 / 排程；選擇後顯示對應參數欄位,切換觸發器類型時清空已填參數
② WHEN 觸發器,渠道選擇,array,automation_rule.trigger.params.channelId,渠道事件類觸發器顯示；可選特定渠道或「所有渠道」,GET /channels 取清單
② WHEN 觸發器,關鍵字輸入,array,automation_rule.trigger.params.keywords[],keyword.matched 觸發器顯示；以逗號分隔輸入,Tag 式輸入，Enter / 逗號新增一個 Tag
② WHEN 觸發器,關鍵字比對模式,enum,automation_rule.trigger.params.matchMode,任一（any）/ 全部（all）；預設 any,
② WHEN 觸發器,Postback 資料,string,automation_rule.trigger.params.data,postback.received 觸發器顯示；填入 Postback data 值,
② WHEN 觸發器,案件觸發器參數,enum,automation_rule.trigger.params,case.sla_warning 顯示「提前幾分鐘」；case.status_changed 顯示「從哪個狀態」,依觸發器類型動態顯示不同參數
② WHEN 觸發器,Cron 表達式,string,automation_rule.trigger.params.expression,schedule.cron 觸發器顯示；提供常用預設選項（每天 / 每週 / 每月）,附 Cron 表達式說明提示
② WHEN 觸發器,排程時間,datetime,automation_rule.trigger.params.runAt,schedule.once 觸發器顯示；日期時間選擇器,過去時間 disabled
③ IF 條件,區塊標題 + 邏輯切換,enum,automation_rule.conditionLogic,「IF — 過濾條件（AND ▾）」；AND = 全部符合 / OR = 任一符合,預設 AND
③ IF 條件,條件列 — 欄位選擇,enum,condition.field,contact.tag / contact.channel / contact.attribute.* / message.text / case.priority / case.category 等,依觸發器類型動態顯示可用欄位
③ IF 條件,條件列 — 運算子,enum,condition.operator,equals / not_equals / contains / not_contains / has_tag / not_has_tag / gt / lt / is_empty 等,依欄位類型動態顯示可用運算子
③ IF 條件,條件列 — 值,mixed,condition.value,依欄位類型顯示對應輸入元件：文字輸入 / 數字 / 下拉 / 標籤選擇器,
