區塊,欄位,類型,DB / API 來源,值 / 規則,備註
① 頂部狀態 Banner,狀態色帶背景,CSS,conversation.status,status = BOT_HANDLED 時顯示紫色色帶，高度 28px，覆蓋頂部標頭區,其他 status 不顯示此色帶
① 頂部狀態 Banner,狀態文字,string,前端固定文案,「Bot 自動處理中」,固定文案，不從 API 取
① 頂部狀態 Banner,顯示條件,enum,conversation.status,僅 BOT_HANDLED 時出現；AGENT_HANDLED / ACTIVE / CLOSED 不顯示,
② 對話列表 — Bot 標記,Bot 徽章,badge,conversation.status,status = BOT_HANDLED 時顯示紫色「Bot 中」pill，位於聯繫人名稱右方,優先於未讀數字圓點顯示
② 對話列表 — Bot 標記,徽章顏色,CSS,前端常數,紫色系，對應 BOT_HANDLED 狀態識別色,
② 對話列表 — Bot 標記,列表排序,rule,conversation.lastMessageAt,BOT_HANDLED 對話仍依最後訊息時間排序，不另外提前,不因 Bot 狀態而插隊
③ 聊天視窗 — Bot 氣泡,氣泡背景色,CSS,message.senderType,senderType = BOT 時使用紫色氣泡；區別客服（藍）與客戶（白）,
③ 聊天視窗 — Bot 氣泡,發送者標籤,string,message.senderType + message.createdAt,格式「[Bot] HH:MM」,
③ 聊天視窗 — Bot 氣泡,訊息內容,JSON,message.content,依 contentType 渲染：text 顯示文字；flex 渲染卡片預覽（如維修預約卡）,來自 messages.content JSONB
③ 聊天視窗 — Bot 氣泡,信心值徽章,float,message.metadata.confidence,範圍 0.0~1.0，顯示格式「信心值 XX%」,> 80% 綠色；50%~80% 橘色；< 50% 不顯示（已升人工）
③ 聊天視窗 — Bot 氣泡,觸發方式標籤,enum,message.metadata.triggerType,「關鍵字命中」/ 「KM 語義命中」,顯示於信心值徽章右方
③ 聊天視窗 — Bot 氣泡,知識庫引用連結,array,message.metadata.knowledgeRefs[],顯示「參考：文章標題 #ID」，可點擊跳至 /km/:id,無引用時不顯示此列
③ 聊天視窗 — Bot 氣泡,Bot 次數警告列,string,conversation.botRepliesCount >= channel.settings.maxBotRepliesBeforeHandoff,橘色背景提示列：「Bot 已回覆 N 次・如需升人工請點下方」,達到上限才顯示，未達不顯示
