區塊,欄位,類型,DB / API 來源,值 / 規則,備註
① Dashboard 指標條,開啟中案件數,integer,"GET /cases?status=open,in_progress&count=true",顯示目前所有開啟中案件總數,頁面載入時呼叫；WS case.updated 事件後即時更新
① Dashboard 指標條,SLA 違規數,integer,GET /cases?slaBreached=true&count=true,now() > slaDueAt 且 status != CLOSED / RESOLVED 的案件數,橘紅色顯示；> 0 時加警示圖示
① Dashboard 指標條,即將到期數,integer,GET /cases?slaWarning=true&count=true,slaDueAt 在 warningBeforeMinutes 內即將到期的案件數,橘色顯示
① Dashboard 指標條,今日解決數,integer,GET /cases?resolvedToday=true&count=true,resolvedAt >= today 00:00 的案件數,綠色顯示
① Dashboard 指標條,刷新方式,rule,WS case.updated 事件,任一案件狀態變更後，前端重新拉取四個指標數字,不每秒輪詢，WS 推播觸發
② 狀態 Tab,全部,tab,GET /cases（無 status 過濾）,顯示所有狀態案件數，格式「全部 N」,預設選中
② 狀態 Tab,開啟中,tab,"GET /cases?status=open,in_progress",OPEN + IN_PROGRESS 合計數,
② 狀態 Tab,待處理,tab,GET /cases?status=pending,status = PENDING,
② 狀態 Tab,已升級,tab,GET /cases?status=escalated,status = ESCALATED；數字 > 0 時 Tab 顯示紅色,
② 狀態 Tab,已解決,tab,GET /cases?status=resolved,status = RESOLVED,
② 狀態 Tab,已關閉,tab,GET /cases?status=closed,status = CLOSED,
③ 篩選列,搜尋框,string,GET /cases?q=,搜尋案件標題 / 聯繫人姓名,debounce 300ms；最少 2 字元才送出
③ 篩選列,指派篩選,enum,GET /cases?assigneeId=,我的案件（預設）/ 未指派 / 全部 / 特定 Agent,Agent 角色預設「我的案件」；Supervisor 預設「全部」
③ 篩選列,優先級篩選,enum,GET /cases?priority=,LOW / MEDIUM / HIGH / URGENT / 全部,可複選，以逗號分隔傳入
③ 篩選列,分類篩選,enum,GET /cases?category=,動態取得 tenant 下所有 category 值,GET /cases/categories 取清單
③ 篩選列,SLA 篩選,enum,GET /cases?slaStatus=,全部 / 正常 / 預警 / 已違規,前端轉換為 slaDueAt 時間範圍條件
④ 表格欄位,狀態色條,enum,case.priority,左側 4px 色條：緊急=紅 / 高=橘 / 中=藍 / 低=灰,色條顏色依優先級，非依狀態
④ 表格欄位,案件編號,string,case.id,格式「#XXXX」；點擊跳轉 /cases/:id,顯示 id 後四碼或流水號
④ 表格欄位,案件標題,string,case.title,最長 30 字，超出截斷加「…」,點擊跳轉 /cases/:id
④ 表格欄位,聯繫人,string,case.contact.displayName,顯示聯繫人姓名；點擊跳轉 /contacts/:contactId,
④ 表格欄位,優先級徽章,enum,case.priority,LOW=灰 / MEDIUM=藍 / HIGH=橘 / URGENT=紅,pill 樣式
④ 表格欄位,指派給,string,case.assignee.name,未指派顯示「未指派」（灰色）,
④ 表格欄位,分類,string,case.category,維修 / 查詢 / 投訴 / 其他；null 顯示「—」,
④ 表格欄位,SLA 剩餘時間,datetime,case.slaDueAt,格式：「剩 Xh Ym」；已超時顯示「已超時 Xh」；正常顯示「正常」,超時顯示紅色；預警顯示橘色；正常顯示灰色
⑤ 列表互動,點擊列,action,前端路由,點擊任意欄位跳轉至 /cases/:id,
⑤ 列表互動,排序,rule,Query param: sortBy + sortOrder,預設：slaDueAt ASC（最緊急在前）；可點欄標題切換排序,
⑤ 列表互動,分頁,integer,"page, limit",預設 limit=20；底部顯示「第 X–Y / 共 N 筆」,非 infinite scroll，使用分頁按鈕
⑤ 列表互動,WS 即時更新,WS,case.updated 事件,有案件新增或狀態變更時，前端自動刷新列表,不強制重整頁面，只更新受影響的列
⑥ API 端點,案件列表,GET,GET /cases,支援 status / priority / category / assigneeId / q / slaStatus / sortBy / sortOrder / page / limit,主要查詢 API
⑥ API 端點,各 Tab 案件數,GET,GET /cases?status=&count=true,各 Tab 旁數字的來源；頁面載入時一次取全部,
⑥ API 端點,Dashboard 指標,GET,GET /cases/stats,回傳 openCount / breachedCount / warningCount / resolvedTodayCount,一次呼叫取得四個數字
⑥ API 端點,建立案件,POST,POST /cases,"body: { title, description?, contactId, priority, category?, assigneeId?, teamId?, slaPolicy?, conversationId? }",按下「建立案件」Modal 確認後呼叫
⑥ API 端點,WebSocket,WS,subscribe: inbox（已在收件匣訂閱）/ case:{id},接收 case.created / case.updated 事件，前端刷新列表與指標條,
