區塊,欄位,類型,DB / API 來源,值 / 規則,備註
① 頂部操作列,麵包屑,string,前端路由,「聯繫人 / {displayName}」；點「聯繫人」回列表,
① 頂部操作列,發送訊息按鈕,action,前端路由,跳轉至 /inbox 並開啟與該聯繫人對話,需至少一個渠道身份；無渠道時 disabled
① 頂部操作列,合併聯繫人按鈕,action,前端事件,開啟合併 Modal；此聯繫人自動設為主要聯繫人,
① 頂部操作列,更多操作下拉,action,前端事件,包含：封鎖聯繫人 / 刪除聯繫人 / 匯出此聯繫人,刪除需二次確認；封鎖後該聯繫人訊息不再進入收件匣
② 左欄 — 基本識別,頭像,string,contact.avatarUrl,圓形；無圖片顯示 displayName 首字縮寫,
② 左欄 — 基本識別,顯示名稱,string,contact.displayName,可行內編輯；失焦後 PATCH 儲存,最長 50 字
② 左欄 — 基本識別,聯繫人 ID,string,contact.id,格式「C-XXXXX」；唯讀,顯示於名稱下方小字
② 左欄 — 基本識別,VIP 標籤,badge,contact.tags[],若有 VIP 標籤則顯示橘色 VIP 徽章,判斷 tag.name = 'VIP'
② 左欄 — 基本識別,封鎖狀態,boolean,contact.isBlocked,被封鎖時顯示紅色「已封鎖」徽章,來自 contacts.is_blocked
③ 左欄 — 基本資料,電話,string?,contact.phone,可行內編輯；失焦後 PATCH 儲存；null 顯示「+ 新增電話」,
③ 左欄 — 基本資料,Email,string?,contact.email,可行內編輯；null 顯示「+ 新增 Email」,格式驗證 RFC 5322
③ 左欄 — 基本資料,語言,enum,contact.language,zh-TW / en / ja 等；下拉選取後 PATCH 儲存,
③ 左欄 — 基本資料,生日,date?,contact.birthday,日期選擇器；null 顯示「+ 新增生日」；格式 YYYY-MM-DD,選填；可用於行銷分群
④ 左欄 — 渠道身份,渠道身份列表,array,contact.channelIdentities[],每個渠道一個 pill：渠道圖示 + 渠道名稱,來自 channel_identities table
④ 左欄 — 渠道身份,連結新渠道,action,前端事件,點擊「+ 連結新渠道」開啟連結流程；產生連結碼給客戶輸入,由客戶在對話中輸入 /link + 連結碼完成綁定
④ 左欄 — 渠道身份,解除渠道連結,action,DELETE /contacts/:id/channel-identities/:channelIdentityId,滑鼠 hover 渠道 pill 後顯示「×」；需二次確認,解除後對應渠道的對話歷程保留，身份解綁
⑤ 左欄 — 標籤,標籤列表,array,contact.tags[],每個標籤顯示為圓角 pill；顏色來自 tag.color,來自 contact_tags 關聯
⑤ 左欄 — 標籤,標籤類型說明,enum,tag.type,手動標籤（可刪）/ 自動標籤（系統貼，可刪）/ 系統標籤（不可刪）,hover 顯示 tooltip 說明類型
⑤ 左欄 — 標籤,有效期顯示,datetime?,contact_tag.expiresAt,有效期標籤顯示「至 MM/DD」；null 則不顯示,
⑤ 左欄 — 標籤,新增標籤,action,POST /contacts/:id/tags,點「+ 新增」開啟標籤下拉選單；從 GET /tags?scope=CONTACT 取清單,可搜尋標籤名稱；不存在時顯示「+ 建立新標籤」
⑤ 左欄 — 標籤,移除標籤,action,DELETE /contacts/:id/tags/:tagId,hover 標籤 pill 後顯示「×」；系統標籤不可移除,type = SYSTEM 的標籤無「×」
