區塊,欄位,類型,DB / API 來源,值 / 規則,備註
① 面板觸發與外觀,觸發方式,action,前端事件,點擊對話列表欄上方「篩選 ▾」按鈕後，從右側滑入抽屜,
① 面板觸發與外觀,顯示位置,CSS,前端常數,從對話列表欄右側滑入，寬度 230px，覆蓋聊天視窗左側,不影響右側面板
① 面板觸發與外觀,關閉方式,action,前端事件,點擊「×」/ 點擊抽屜外區域 / 點擊「套用篩選」後關閉,點擊外部關閉不清除已設定條件
① 面板觸發與外觀,抽屜標頭文字,string,前端固定文案,「進階篩選」,
① 面板觸發與外觀,Active 篩選 Chip,array,前端狀態,已套用的篩選條件以 Chip 顯示於列表搜尋框下方；每個 Chip 可單獨點「×」移除,Chip 顏色依篩選類型：渠道藍 / 標籤紫 / 狀態橘
② 對話狀態篩選,區塊標題,string,前端固定文案,「對話狀態」,
② 對話狀態篩選,進行中,checkbox,conversation.status = ACTIVE,勾選後過濾 status = ACTIVE 的對話,可複選
② 對話狀態篩選,Bot 處理中,checkbox,conversation.status = BOT_HANDLED,勾選後過濾 status = BOT_HANDLED 的對話,可複選
② 對話狀態篩選,等待客服,checkbox,conversation.status = ACTIVE AND assignedToId IS NULL,勾選後過濾未指派的進行中對話,可複選
② 對話狀態篩選,已關閉,checkbox,conversation.status = CLOSED,勾選後過濾已關閉對話,可複選
③ 渠道篩選,區塊標題,string,前端固定文案,「渠道」,
③ 渠道篩選,LINE,checkbox,conversation.channelType = LINE,Query param: channelType=LINE,可複選
③ 渠道篩選,FB,checkbox,conversation.channelType = FB,Query param: channelType=FB,可複選
③ 渠道篩選,WebChat,checkbox,conversation.channelType = WEBCHAT,Query param: channelType=WEBCHAT,可複選
③ 渠道篩選,WhatsApp,checkbox,conversation.channelType = WHATSAPP,Query param: channelType=WHATSAPP；未啟用時 disabled 並顯示「即將推出」,依 license 功能開關決定是否顯示
④ 指派篩選,區塊標題,string,前端固定文案,「指派給」,
④ 指派篩選,指派下拉選單,enum,GET /agents?isActive=true,選項：我的對話（預設）/ 未指派 / 所有對話 / 特定 Agent,
④ 指派篩選,我的對話,option,assignedToId = currentAgent.id,Query param: assigneeId=me,預設選項
④ 指派篩選,未指派,option,assignedToId IS NULL,Query param: assigneeId=none,
④ 指派篩選,特定 Agent,option,GET /agents?isActive=true,顯示所有在職客服姓名列表；選取後 Query param: assigneeId={agentId},
