區塊,欄位,類型,DB / API 來源,值 / 規則,備註
① 頂部操作列,麵包屑,string,前端路由,「案件 / #XXXX」；點「案件」回到列表,
① 頂部操作列,案件標題,string,case.title,H2 大標；可行內編輯，失焦後 PATCH 儲存,最長 100 字
① 頂部操作列,標記解決按鈕,action,POST /cases/:id/resolve,將 status → RESOLVED；僅 OPEN / IN_PROGRESS / PENDING / ESCALATED 時顯示,已 RESOLVED / CLOSED 時隱藏
① 頂部操作列,關閉案件按鈕,action,POST /cases/:id/close,將 status → CLOSED；需二次確認 Dialog,已 CLOSED 時隱藏；顯示「重新開啟」
① 頂部操作列,合併案件按鈕,action,POST /cases/merge,開啟合併 Modal；搜尋目標案件後合併,合併後此案件成為子記錄，對話歷程保留
① 頂部操作列,升級案件按鈕,action,POST /cases/:id/escalate,開啟升級 Modal；status → ESCALATED,ESCALATED / CLOSED 時隱藏
① 頂部操作列,返回列表,link,前端路由,「↑」圖示，返回 /cases,
② 左欄 — 案件資訊,狀態下拉,enum,PATCH /cases/:id,OPEN / IN_PROGRESS / PENDING / RESOLVED / ESCALATED / CLOSED；下拉選取後即時儲存,來自 cases.status；非所有狀態均可直接跳轉，需符合狀態機規則
② 左欄 — 案件資訊,優先級下拉,enum,PATCH /cases/:id,LOW / MEDIUM / HIGH / URGENT；下拉選取後即時儲存,來自 cases.priority
② 左欄 — 案件資訊,SLA 剩餘時間,datetime,case.slaDueAt,格式「剩 Xh Ym」；前端每分鐘計算；超時顯示「已超時 Xh」,slaDueAt = null 時顯示「未設定」
② 左欄 — 案件資訊,SLA 首回達標,boolean,前端計算,第一則 AGENT 訊息的 createdAt - case.createdAt <= firstResponseMinutes；顯示「已達 ✓ / 未達 ✗」,
② 左欄 — 案件資訊,SLA 解決目標,string,slaPolicy.resolutionMinutes,格式「解決目標：N 小時」,來自 sla_policies.resolution_minutes
